MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932824,3.6050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-1.1600000
MsgID.LOCAL_POSITION,39.3260000,0.0957446,0.0386748,-3.6052125
MsgID.LOCAL_VELOCITY,39.3260000,-0.0091753,0.0211625,-1.1617651
MsgID.GLOBAL_POSITION,0.0000000,-122.3957495,37.7932817,3.5590000
MsgID.LOCAL_VELOCITY,0.0000000,0.1400000,0.0100000,1.2500000
MsgID.LOCAL_POSITION,39.5760000,0.0166599,0.2135873,-3.5590320
MsgID.LOCAL_VELOCITY,39.5760000,0.1437578,0.0184596,1.2544692
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932829,3.1800000
MsgID.LOCAL_VELOCITY,0.0000000,1.0500000,0.0000000,1.8500000
MsgID.LOCAL_POSITION,39.8260000,0.1517339,0.1313516,-3.1805842
MsgID.LOCAL_VELOCITY,39.8260000,1.0570391,0.0079306,1.8501668
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,40.0760000,0.7482777,0.0689324,-2.8475304
MsgID.LOCAL_VELOCITY,40.0760000,3.0304859,-0.0092315,0.4492660
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932882,2.8470000
MsgID.LOCAL_VELOCITY,0.0000000,3.0300000,0.0000000,0.4400000
MsgID.LOCAL_POSITION,40.3260000,1.7327170,0.0680011,-2.9363182
MsgID.LOCAL_VELOCITY,40.3260000,4.6649528,-0.0213752,-0.6633710
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932971,2.9360000
MsgID.LOCAL_VELOCITY,0.0000000,4.6600000,-0.0200000,-0.6600000
MsgID.LOCAL_POSITION,40.5760000,2.9093449,0.0871552,-3.0571988
MsgID.LOCAL_VELOCITY,40.5760000,5.3266926,-0.0245915,0.1462500
MsgID.GLOBAL_POSITION,0.0000000,-122.3957509,37.7933077,3.0570000
MsgID.LOCAL_VELOCITY,0.0000000,5.3200000,-0.0200000,0.1400000
MsgID.LOCAL_POSITION,40.8260000,4.2056603,-0.0611836,-3.0122981
MsgID.LOCAL_VELOCITY,40.8260000,6.0953808,-0.0263708,0.3978025
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7933194,3.0120000
MsgID.LOCAL_VELOCITY,0.0000000,6.0900000,-0.0200000,0.3900000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,41.0760000,6.0518765,0.0007079,-2.9825211
MsgID.LOCAL_VELOCITY,41.0760000,7.2364058,0.0000490,0.0931905
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7933360,2.9820000
MsgID.LOCAL_VELOCITY,0.0000000,7.2300000,0.0000000,0.0900000
MsgID.LOCAL_POSITION,41.3260000,7.8360429,0.0118113,-2.9924731
MsgID.LOCAL_VELOCITY,41.3260000,8.0458164,0.0032713,0.0578624
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7933520,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,8.0400000,0.0000000,0.0500000
MsgID.LOCAL_POSITION,41.5760000,9.8946714,0.1133047,-2.9995446
MsgID.LOCAL_VELOCITY,41.5760000,8.5949163,-0.0069986,0.0727842
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7933706,2.9990000
MsgID.LOCAL_VELOCITY,0.0000000,8.5900000,0.0000000,0.0700000
MsgID.LOCAL_POSITION,41.8260000,12.0157566,0.2270294,-2.9924655
MsgID.LOCAL_VELOCITY,41.8260000,8.7517891,-0.0537526,0.0419799
MsgID.GLOBAL_POSITION,0.0000000,-122.3957493,37.7933896,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,8.7500000,-0.0500000,0.0400000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7934119,2.9880000
MsgID.LOCAL_VELOCITY,0.0000000,8.8000000,-0.1500000,0.0700000
MsgID.LOCAL_POSITION,42.0760000,14.4866886,0.1348493,-2.9881122
MsgID.LOCAL_VELOCITY,42.0760000,8.8095675,-0.1540301,0.0747488
MsgID.LOCAL_POSITION,42.3270000,16.3810101,0.0993452,-2.9890585
MsgID.LOCAL_VELOCITY,42.3270000,8.8139420,-0.1983610,-0.0047808
MsgID.GLOBAL_POSITION,0.0000000,-122.3957508,37.7934289,2.9890000
MsgID.LOCAL_VELOCITY,0.0000000,8.8100000,-0.1900000,0.0000000
MsgID.LOCAL_POSITION,42.5770000,18.7082653,-0.1751360,-2.9972465
MsgID.LOCAL_VELOCITY,42.5770000,7.6632886,-0.1689866,0.0223773
MsgID.GLOBAL_POSITION,0.0000000,-122.3957539,37.7934499,2.9970000
MsgID.LOCAL_VELOCITY,0.0000000,7.6600000,-0.1600000,0.0200000
MsgID.LOCAL_POSITION,42.8270000,20.4228554,-0.2227886,-2.9990191
MsgID.LOCAL_VELOCITY,42.8270000,5.7990065,-0.0487382,0.0508813
MsgID.GLOBAL_POSITION,0.0000000,-122.3957544,37.7934653,2.9990000
MsgID.LOCAL_VELOCITY,0.0000000,5.7900000,-0.0400000,0.0500000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,43.0770000,21.5643196,-0.0204227,-3.0019138
MsgID.LOCAL_VELOCITY,43.0770000,4.3659067,0.5321130,0.0703535
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7934756,3.0010000
MsgID.LOCAL_VELOCITY,0.0000000,4.3600000,0.5300000,0.0700000
MsgID.LOCAL_POSITION,43.3270000,22.6027546,0.2874411,-2.9879997
MsgID.LOCAL_VELOCITY,43.3270000,3.6449716,1.5579618,0.1105209
MsgID.GLOBAL_POSITION,0.0000000,-122.3957487,37.7934849,2.9870000
MsgID.LOCAL_VELOCITY,0.0000000,3.6400000,1.5500000,0.1100000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957440,37.7934923,2.9880000
MsgID.LOCAL_VELOCITY,0.0000000,2.7500000,2.6800000,0.0000000
MsgID.LOCAL_POSITION,43.5770000,23.4182568,0.7051286,-2.9885864
MsgID.LOCAL_VELOCITY,43.5770000,2.7537746,2.6853755,0.0000402
MsgID.GLOBAL_POSITION,0.0000000,-122.3957340,37.7934969,2.9950000
MsgID.LOCAL_VELOCITY,0.0000000,1.9600000,3.5800000,0.0200000
MsgID.LOCAL_POSITION,43.8270000,23.9327087,1.5964551,-2.9949896
MsgID.LOCAL_VELOCITY,43.8270000,1.9596921,3.5904193,0.0271630
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3957233,37.7935019,2.9850000
MsgID.LOCAL_VELOCITY,0.0000000,1.1400000,4.5000000,0.0200000
MsgID.LOCAL_POSITION,44.0770000,24.4891224,2.5426364,-2.9854550
MsgID.LOCAL_VELOCITY,44.0770000,1.1457325,4.5026217,0.0209037
MsgID.GLOBAL_POSITION,0.0000000,-122.3957116,37.7935029,2.9860000
MsgID.LOCAL_VELOCITY,0.0000000,0.3900000,5.2900000,-0.0100000
MsgID.LOCAL_POSITION,44.3270000,24.5969868,3.5796113,-2.9865394
MsgID.LOCAL_VELOCITY,44.3270000,0.3925632,5.2963009,-0.0113665
MsgID.GLOBAL_POSITION,0.0000000,-122.3956950,37.7935023,2.9820000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3700000,6.0700000,-0.0200000
MsgID.LOCAL_POSITION,44.5770000,24.5277061,5.0550318,-2.9827366
MsgID.LOCAL_VELOCITY,44.5770000,-0.3706977,6.0730529,-0.0201377
MsgID.GLOBAL_POSITION,0.0000000,-122.3956760,37.7935007,2.9780000
MsgID.LOCAL_VELOCITY,0.0000000,-1.0500000,6.7700000,-0.0800000
MsgID.LOCAL_POSITION,44.8270000,24.3539772,6.7451634,-2.9782150
MsgID.LOCAL_VELOCITY,44.8270000,-1.0596840,6.7763658,-0.0865314
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956537,37.7934971,2.9740000
MsgID.LOCAL_VELOCITY,0.0000000,-1.7500000,7.4200000,-0.0600000
